,Hemisphere,Day,Month,Year,Date,Temperature Variation
120,Global,01,January,2000,01/January/2000,0.25
121,Global,01,January,2001,01/January/2001,0.46
122,Global,01,January,2002,01/January/2002,0.78
123,Global,01,January,2003,01/January/2003,0.75
124,Global,01,January,2004,01/January/2004,0.58
125,Global,01,January,2005,01/January/2005,0.75
126,Global,01,January,2006,01/January/2006,0.57
127,Global,01,January,2007,01/January/2007,1.03
128,Global,01,January,2008,01/January/2008,0.31
129,Global,01,January,2009,01/January/2009,0.65
130,Global,01,January,2010,01/January/2010,0.75
131,Global,01,January,2011,01/January/2011,0.52
132,Global,01,January,2012,01/January/2012,0.49
133,Global,01,January,2013,01/January/2013,0.71
134,Global,01,January,2014,01/January/2014,0.76
135,Global,01,January,2015,01/January/2015,0.85
136,Global,01,January,2016,01/January/2016,1.17
137,Global,01,January,2017,01/January/2017,1.03
138,Global,01,January,2018,01/January/2018,0.82
139,Global,01,January,2019,01/January/2019,0.94
140,Global,01,January,2020,01/January/2020,1.17
141,Northern,01,January,1880,01/January/1880,-0.34
142,Northern,01,January,1881,01/January/1881,-0.3
143,Northern,01,January,1882,01/January/1882,0.28
144,Northern,01,January,1883,01/January/1883,-0.56
145,Northern,01,January,1884,01/January/1884,-0.16
146,Northern,01,January,1885,01/January/1885,-1.0
147,Northern,01,January,1886,01/January/1886,-0.74
148,Northern,01,January,1887,01/January/1887,-1.07
149,Northern,01,January,1888,01/January/1888,-0.48
150,Northern,01,January,1889,01/January/1889,-0.26
151,Northern,01,January,1890,01/January/1890,-0.63
152,Northern,01,January,1891,01/January/1891,-0.47
153,Northern,01,January,1892,01/January/1892,-0.49
154,Northern,01,January,1893,01/January/1893,-1.52
155,Northern,01,January,1894,01/January/1894,-0.91
156,Northern,01,January,1895,01/January/1895,-0.69
157,Northern,01,January,1896,01/January/1896,-0.35
158,Northern,01,January,1897,01/January/1897,-0.4
159,Northern,01,January,1898,01/January/1898,0.07
160,Northern,01,January,1899,01/January/1899,-0.11
161,Northern,01,January,1900,01/January/1900,-0.6
162,Northern,01,January,1901,01/January/1901,-0.32
163,Northern,01,January,1902,01/January/1902,-0.15
164,Northern,01,January,1903,01/January/1903,-0.2
165,Northern,01,January,1904,01/January/1904,-0.76
166,Northern,01,January,1905,01/January/1905,-0.41
167,Northern,01,January,1906,01/January/1906,-0.55
168,Northern,01,January,1907,01/January/1907,-0.57
169,Northern,01,January,1908,01/January/1908,-0.53
170,Northern,01,January,1909,01/January/1909,-0.92
171,Northern,01,January,1910,01/January/1910,-0.35
172,Northern,01,January,1911,01/January/1911,-0.69
173,Northern,01,January,1912,01/January/1912,-0.34
174,Northern,01,January,1913,01/January/1913,-0.55
175,Northern,01,January,1914,01/January/1914,0.18
176,Northern,01,January,1915,01/January/1915,-0.26
177,Northern,01,January,1916,01/January/1916,-0.08
178,Northern,01,January,1917,01/January/1917,-0.53
179,Northern,01,January,1918,01/January/1918,-0.69
180,Northern,01,January,1919,01/January/1919,-0.37
181,Northern,01,January,1920,01/January/1920,-0.15
182,Northern,01,January,1921,01/January/1921,0.19
183,Northern,01,January,1922,01/January/1922,-0.37
184,Northern,01,January,1923,01/January/1923,-0.18
185,Northern,01,January,1924,01/January/1924,-0.28
186,Northern,01,January,1925,01/January/1925,-0.28
187,Northern,01,January,1926,01/January/1926,0.53
188,Northern,01,January,1927,01/January/1927,-0.28
189,Northern,01,January,1928,01/January/1928,0.27
190,Northern,01,January,1929,01/January/1929,-0.56
191,Northern,01,January,1930,01/January/1930,-0.11
192,Northern,01,January,1931,01/January/1931,0.01
193,Northern,01,January,1932,01/January/1932,0.39
194,Northern,01,January,1933,01/January/1933,-0.18
195,Northern,01,January,1934,01/January/1934,-0.15
196,Northern,01,January,1935,01/January/1935,-0.39
197,Northern,01,January,1936,01/January/1936,-0.29
198,Northern,01,January,1937,01/January/1937,0.09
199,Northern,01,January,1938,01/January/1938,0.35
200,Northern,01,January,1939,01/January/1939,0.03
201,Northern,01,January,1940,01/January/1940,-0.1
202,Northern,01,January,1941,01/January/1941,0.18
203,Northern,01,January,1942,01/January/1942,0.4
204,Northern,01,January,1943,01/January/1943,-0.1
205,Northern,01,January,1944,01/January/1944,0.62
206,Northern,01,January,1945,01/January/1945,0.11
207,Northern,01,January,1946,01/January/1946,0.34
208,Northern,01,January,1947,01/January/1947,-0.04
209,Northern,01,January,1948,01/January/1948,0.3
210,Northern,01,January,1949,01/January/1949,0.23
211,Northern,01,January,1950,01/January/1950,-0.29
212,Northern,01,January,1951,01/January/1951,-0.36
213,Northern,01,January,1952,01/January/1952,0.17
214,Northern,01,January,1953,01/January/1953,0.24
215,Northern,01,January,1954,01/January/1954,-0.24
216,Northern,01,January,1955,01/January/1955,0.42
217,Northern,01,January,1956,01/January/1956,-0.04
218,Northern,01,January,1957,01/January/1957,-0.14
219,Northern,01,January,1958,01/January/1958,0.68
220,Northern,01,January,1959,01/January/1959,0.24
221,Northern,01,January,1960,01/January/1960,0.15
222,Northern,01,January,1961,01/January/1961,0.17
223,Northern,01,January,1962,01/January/1962,0.28
224,Northern,01,January,1963,01/January/1963,0.07
225,Northern,01,January,1964,01/January/1964,-0.05
226,Northern,01,January,1965,01/January/1965,-0.02
227,Northern,01,January,1966,01/January/1966,-0.25
228,Northern,01,January,1967,01/January/1967,-0.17
229,Northern,01,January,1968,01/January/1968,-0.29
230,Northern,01,January,1969,01/January/1969,-0.43
231,Northern,01,January,1970,01/January/1970,-0.02
232,Northern,01,January,1971,01/January/1971,-0.14
233,Northern,01,January,1972,01/January/1972,-0.54
234,Northern,01,January,1973,01/January/1973,0.15
235,Northern,01,January,1974,01/January/1974,-0.25
236,Northern,01,January,1975,01/January/1975,0.16
237,Northern,01,January,1976,01/January/1976,0.05
238,Northern,01,January,1977,01/January/1977,-0.16
239,Northern,01,January,1978,01/January/1978,0.16
240,Northern,01,January,1979,01/January/1979,-0.05
241,Northern,01,January,1980,01/January/1980,0.21
242,Northern,01,January,1981,01/January/1981,0.79
243,Northern,01,January,1982,01/January/1982,-0.13
244,Northern,01,January,1983,01/January/1983,0.55
245,Northern,01,January,1984,01/January/1984,0.34
246,Northern,01,January,1985,01/January/1985,0.07
247,Northern,01,January,1986,01/January/1986,0.36
248,Northern,01,January,1987,01/January/1987,0.25
249,Northern,01,January,1988,01/January/1988,0.59
250,Northern,01,January,1989,01/January/1989,0.08
251,Northern,01,January,1990,01/January/1990,0.48
252,Northern,01,January,1991,01/January/1991,0.6
253,Northern,01,January,1992,01/January/1992,0.61
254,Northern,01,January,1993,01/January/1993,0.39
255,Northern,01,January,1994,01/January/1994,0.34
256,Northern,01,January,1995,01/January/1995,0.75
257,Northern,01,January,1996,01/January/1996,0.27
258,Northern,01,January,1997,01/January/1997,0.34
259,Northern,01,January,1998,01/January/1998,0.62
260,Northern,01,January,1999,01/January/1999,0.59
261,Northern,01,January,2000,01/January/2000,0.38
262,Northern,01,January,2001,01/January/2001,0.57
263,Northern,01,January,2002,01/January/2002,1.02
264,Northern,01,January,2003,01/January/2003,0.93
265,Northern,01,January,2004,01/January/2004,0.67
266,Northern,01,January,2005,01/January/2005,0.94
267,Northern,01,January,2006,01/January/2006,0.66
268,Northern,01,January,2007,01/January/2007,1.46
269,Northern,01,January,2008,01/January/2008,0.34
270,Northern,01,January,2009,01/January/2009,0.82
271,Northern,01,January,2010,01/January/2010,0.81
272,Northern,01,January,2011,01/January/2011,0.61
273,Northern,01,January,2012,01/January/2012,0.68
274,Northern,01,January,2013,01/January/2013,0.85
275,Northern,01,January,2014,01/January/2014,0.97
276,Northern,01,January,2015,01/January/2015,1.18
277,Northern,01,January,2016,01/January/2016,1.55
278,Northern,01,January,2017,01/January/2017,1.41
279,Northern,01,January,2018,01/January/2018,1.15
280,Northern,01,January,2019,01/January/2019,1.21
281,Northern,01,January,2020,01/January/2020,1.6
282,Southern,01,January,1880,01/January/1880,0.01
283,Southern,01,January,1881,01/January/1881,-0.08
284,Southern,01,January,1882,01/January/1882,0.08
285,Southern,01,January,1883,01/January/1883,-0.01
286,Southern,01,January,1884,01/January/1884,-0.08
287,Southern,01,January,1885,01/January/1885,-0.19
288,Southern,01,January,1886,01/January/1886,-0.14
289,Southern,01,January,1887,01/January/1887,-0.36
290,Southern,01,January,1888,01/January/1888,-0.2
291,Southern,01,January,1889,01/January/1889,0.08
292,Southern,01,January,1890,01/January/1890,-0.2
293,Southern,01,January,1891,01/January/1891,-0.2
294,Southern,01,January,1892,01/January/1892,-0.08
295,Southern,01,January,1893,01/January/1893,-0.12
296,Southern,01,January,1894,01/January/1894,-0.13
297,Southern,01,January,1895,01/January/1895,-0.12
298,Southern,01,January,1896,01/January/1896,-0.07
299,Southern,01,January,1897,01/January/1897,0.1
300,Southern,01,January,1898,01/January/1898,-0.09
301,Southern,01,January,1899,01/January/1899,-0.19
302,Southern,01,January,1900,01/January/1900,-0.09
303,Southern,01,January,1901,01/January/1901,-0.1
304,Southern,01,January,1902,01/January/1902,-0.18
305,Southern,01,January,1903,01/January/1903,-0.24
306,Southern,01,January,1904,01/January/1904,-0.5
307,Southern,01,January,1905,01/January/1905,-0.27
308,Southern,01,January,1906,01/January/1906,0.02
309,Southern,01,January,1907,01/January/1907,-0.27
310,Southern,01,January,1908,01/January/1908,-0.34
311,Southern,01,January,1909,01/January/1909,-0.5
312,Southern,01,January,1910,01/January/1910,-0.49
313,Southern,01,January,1911,01/January/1911,-0.52
314,Southern,01,January,1912,01/January/1912,-0.13
315,Southern,01,January,1913,01/January/1913,-0.23
316,Southern,01,January,1914,01/January/1914,-0.07
317,Southern,01,January,1915,01/January/1915,-0.12
318,Southern,01,January,1916,01/January/1916,-0.15
319,Southern,01,January,1917,01/January/1917,-0.62
320,Southern,01,January,1918,01/January/1918,-0.26
321,Southern,01,January,1919,01/January/1919,0.0
322,Southern,01,January,1920,01/January/1920,-0.32
323,Southern,01,January,1921,01/January/1921,-0.27
324,Southern,01,January,1922,01/January/1922,-0.27
325,Southern,01,January,1923,01/January/1923,-0.36
326,Southern,01,January,1924,01/January/1924,-0.15
327,Southern,01,January,1925,01/January/1925,-0.49
328,Southern,01,January,1926,01/January/1926,-0.1
329,Southern,01,January,1927,01/January/1927,-0.24
330,Southern,01,January,1928,01/January/1928,-0.28
331,Southern,01,January,1929,01/January/1929,-0.32
332,Southern,01,January,1930,01/January/1930,-0.46
333,Southern,01,January,1931,01/January/1931,-0.18
334,Southern,01,January,1932,01/January/1932,-0.09
335,Southern,01,January,1933,01/January/1933,-0.27
336,Southern,01,January,1934,01/January/1934,-0.29
337,Southern,01,January,1935,01/January/1935,-0.26
338,Southern,01,January,1936,01/January/1936,-0.25
339,Southern,01,January,1937,01/January/1937,-0.23
340,Southern,01,January,1938,01/January/1938,-0.19
341,Southern,01,January,1939,01/January/1939,-0.15
342,Southern,01,January,1940,01/January/1940,0.12
343,Southern,01,January,1941,01/January/1941,0.2
344,Southern,01,January,1942,01/January/1942,0.18
345,Southern,01,January,1943,01/January/1943,0.07
346,Southern,01,January,1944,01/January/1944,0.08
347,Southern,01,January,1945,01/January/1945,0.1
348,Southern,01,January,1946,01/January/1946,-0.03
349,Southern,01,January,1947,01/January/1947,-0.08
350,Southern,01,January,1948,01/January/1948,-0.18
351,Southern,01,January,1949,01/January/1949,-0.1
352,Southern,01,January,1950,01/January/1950,-0.23
353,Southern,01,January,1951,01/January/1951,-0.33
354,Southern,01,January,1952,01/January/1952,0.07
355,Southern,01,January,1953,01/January/1953,-0.08
356,Southern,01,January,1954,01/January/1954,-0.23
357,Southern,01,January,1955,01/January/1955,-0.17
358,Southern,01,January,1956,01/January/1956,-0.22
359,Southern,01,January,1957,01/January/1957,-0.04
360,Southern,01,January,1958,01/January/1958,0.1
361,Southern,01,January,1959,01/January/1959,-0.08
362,Southern,01,January,1960,01/January/1960,-0.15
363,Southern,01,January,1961,01/January/1961,-0.03
364,Southern,01,January,1962,01/January/1962,-0.17
365,Southern,01,January,1963,01/January/1963,-0.14
366,Southern,01,January,1964,01/January/1964,-0.13
367,Southern,01,January,1965,01/January/1965,-0.15
368,Southern,01,January,1966,01/January/1966,-0.13
369,Southern,01,January,1967,01/January/1967,0.03
370,Southern,01,January,1968,01/January/1968,-0.24
371,Southern,01,January,1969,01/January/1969,0.22
372,Southern,01,January,1970,01/January/1970,0.2
373,Southern,01,January,1971,01/January/1971,0.09
374,Southern,01,January,1972,01/January/1972,0.09
375,Southern,01,January,1973,01/January/1973,0.43
376,Southern,01,January,1974,01/January/1974,0.05
377,Southern,01,January,1975,01/January/1975,0.03
378,Southern,01,January,1976,01/January/1976,-0.12
379,Southern,01,January,1977,01/January/1977,0.53
380,Southern,01,January,1978,01/January/1978,-0.03
381,Southern,01,January,1979,01/January/1979,0.22
382,Southern,01,January,1980,01/January/1980,0.38
383,Southern,01,January,1981,01/January/1981,0.25
384,Southern,01,January,1982,01/January/1982,0.24
385,Southern,01,January,1983,01/January/1983,0.51
386,Southern,01,January,1984,01/January/1984,0.28
387,Southern,01,January,1985,01/January/1985,0.36
388,Southern,01,January,1986,01/January/1986,0.16
389,Southern,01,January,1987,01/January/1987,0.39
390,Southern,01,January,1988,01/January/1988,0.54
391,Southern,01,January,1989,01/January/1989,0.16
392,Southern,01,January,1990,01/January/1990,0.35
393,Southern,01,January,1991,01/January/1991,0.26
394,Southern,01,January,1992,01/January/1992,0.34
395,Southern,01,January,1993,01/January/1993,0.3
396,Southern,01,January,1994,01/January/1994,0.19
397,Southern,01,January,1995,01/January/1995,0.29
398,Southern,01,January,1996,01/January/1996,0.21
399,Southern,01,January,1997,01/January/1997,0.25
400,Southern,01,January,1998,01/January/1998,0.55
401,Southern,01,January,1999,01/January/1999,0.38
402,Southern,01,January,2000,01/January/2000,0.11
403,Southern,01,January,2001,01/January/2001,0.35
404,Southern,01,January,2002,01/January/2002,0.52
405,Southern,01,January,2003,01/January/2003,0.57
406,Southern,01,January,2004,01/January/2004,0.5
407,Southern,01,January,2005,01/January/2005,0.55
408,Southern,01,January,2006,01/January/2006,0.47
409,Southern,01,January,2007,01/January/2007,0.58
410,Southern,01,January,2008,01/January/2008,0.27
411,Southern,01,January,2009,01/January/2009,0.47
412,Southern,01,January,2010,01/January/2010,0.7
413,Southern,01,January,2011,01/January/2011,0.41
414,Southern,01,January,2012,01/January/2012,0.3
415,Southern,01,January,2013,01/January/2013,0.56
416,Southern,01,January,2014,01/January/2014,0.53
417,Southern,01,January,2015,01/January/2015,0.52
418,Southern,01,January,2016,01/January/2016,0.8
419,Southern,01,January,2017,01/January/2017,0.65
420,Southern,01,January,2018,01/January/2018,0.48
421,Southern,01,January,2019,01/January/2019,0.66
422,Southern,01,January,2020,01/January/2020,0.74
423,Global,01,February,1880,01/February/1880,-0.23
424,Global,01,February,1881,01/February/1881,-0.13
425,Global,01,February,1882,01/February/1882,0.15
426,Global,01,February,1883,01/February/1883,-0.36
427,Global,01,February,1884,01/February/1884,-0.07
428,Global,01,February,1885,01/February/1885,-0.33
429,Global,01,February,1886,01/February/1886,-0.5
430,Global,01,February,1887,01/February/1887,-0.56
431,Global,01,February,1888,01/February/1888,-0.35
432,Global,01,February,1889,01/February/1889,0.17
433,Global,01,February,1890,01/February/1890,-0.44
434,Global,01,February,1891,01/February/1891,-0.46
435,Global,01,February,1892,01/February/1892,-0.1
436,Global,01,February,1893,01/February/1893,-0.57
437,Global,01,February,1894,01/February/1894,-0.29
438,Global,01,February,1895,01/February/1895,-0.42
439,Global,01,February,1896,01/February/1896,-0.12
440,Global,01,February,1897,01/February/1897,-0.17
441,Global,01,February,1898,01/February/1898,-0.29
442,Global,01,February,1899,01/February/1899,-0.38
443,Global,01,February,1900,01/February/1900,-0.05
444,Global,01,February,1901,01/February/1901,-0.1
445,Global,01,February,1902,01/February/1902,-0.06
446,Global,01,February,1903,01/February/1903,-0.05
447,Global,01,February,1904,01/February/1904,-0.57
448,Global,01,February,1905,01/February/1905,-0.58
449,Global,01,February,1906,01/February/1906,-0.29
450,Global,01,February,1907,01/February/1907,-0.5
451,Global,01,February,1908,01/February/1908,-0.32
452,Global,01,February,1909,01/February/1909,-0.45
453,Global,01,February,1910,01/February/1910,-0.41
454,Global,01,February,1911,01/February/1911,-0.56
455,Global,01,February,1912,01/February/1912,-0.13
456,Global,01,February,1913,01/February/1913,-0.44
457,Global,01,February,1914,01/February/1914,-0.09
458,Global,01,February,1915,01/February/1915,-0.03
459,Global,01,February,1916,01/February/1916,-0.14
460,Global,01,February,1917,01/February/1917,-0.62
461,Global,01,February,1918,01/February/1918,-0.33
462,Global,01,February,1919,01/February/1919,-0.23
463,Global,01,February,1920,01/February/1920,-0.26
464,Global,01,February,1921,01/February/1921,-0.17
465,Global,01,February,1922,01/February/1922,-0.44
466,Global,01,February,1923,01/February/1923,-0.39
467,Global,01,February,1924,01/February/1924,-0.23
468,Global,01,February,1925,01/February/1925,-0.4
469,Global,01,February,1926,01/February/1926,0.03
470,Global,01,February,1927,01/February/1927,-0.18
471,Global,01,February,1928,01/February/1928,-0.09
472,Global,01,February,1929,01/February/1929,-0.58
473,Global,01,February,1930,01/February/1930,-0.26
474,Global,01,February,1931,01/February/1931,-0.21
475,Global,01,February,1932,01/February/1932,-0.17
476,Global,01,February,1933,01/February/1933,-0.29
477,Global,01,February,1934,01/February/1934,-0.02
478,Global,01,February,1935,01/February/1935,0.14
479,Global,01,February,1936,01/February/1936,-0.38
480,Global,01,February,1937,01/February/1937,0.03
481,Global,01,February,1938,01/February/1938,0.03
482,Global,01,February,1939,01/February/1939,-0.07
483,Global,01,February,1940,01/February/1940,0.08
484,Global,01,February,1941,01/February/1941,0.31
485,Global,01,February,1942,01/February/1942,0.02
486,Global,01,February,1943,01/February/1943,0.17
487,Global,01,February,1944,01/February/1944,0.24
488,Global,01,February,1945,01/February/1945,0.0
489,Global,01,February,1946,01/February/1946,0.02
490,Global,01,February,1947,01/February/1947,-0.08
491,Global,01,February,1948,01/February/1948,-0.15
492,Global,01,February,1949,01/February/1949,-0.14
493,Global,01,February,1950,01/February/1950,-0.27
494,Global,01,February,1951,01/February/1951,-0.41
495,Global,01,February,1952,01/February/1952,0.11
496,Global,01,February,1953,01/February/1953,0.15
497,Global,01,February,1954,01/February/1954,-0.1
498,Global,01,February,1955,01/February/1955,-0.16
499,Global,01,February,1956,01/February/1956,-0.24
500,Global,01,February,1957,01/February/1957,-0.03
501,Global,01,February,1958,01/February/1958,0.22
502,Global,01,February,1959,01/February/1959,0.07
503,Global,01,February,1960,01/February/1960,0.13
504,Global,01,February,1961,01/February/1961,0.19
505,Global,01,February,1962,01/February/1962,0.15
506,Global,01,February,1963,01/February/1963,0.18
507,Global,01,February,1964,01/February/1964,-0.1
508,Global,01,February,1965,01/February/1965,-0.17
509,Global,01,February,1966,01/February/1966,-0.04
510,Global,01,February,1967,01/February/1967,-0.21
511,Global,01,February,1968,01/February/1968,-0.14
512,Global,01,February,1969,01/February/1969,-0.17
513,Global,01,February,1970,01/February/1970,0.22
514,Global,01,February,1971,01/February/1971,-0.16
515,Global,01,February,1972,01/February/1972,-0.18
516,Global,01,February,1973,01/February/1973,0.32
517,Global,01,February,1974,01/February/1974,-0.27
518,Global,01,February,1975,01/February/1975,0.08
519,Global,01,February,1976,01/February/1976,-0.06
520,Global,01,February,1977,01/February/1977,0.23
521,Global,01,February,1978,01/February/1978,0.1
522,Global,01,February,1979,01/February/1979,-0.1
523,Global,01,February,1980,01/February/1980,0.4
524,Global,01,February,1981,01/February/1981,0.42
525,Global,01,February,1982,01/February/1982,0.15
526,Global,01,February,1983,01/February/1983,0.43
527,Global,01,February,1984,01/February/1984,0.14
528,Global,01,February,1985,01/February/1985,-0.04
529,Global,01,February,1986,01/February/1986,0.37
530,Global,01,February,1987,01/February/1987,0.43
531,Global,01,February,1988,01/February/1988,0.44
532,Global,01,February,1989,01/February/1989,0.3
533,Global,01,February,1990,01/February/1990,0.44
534,Global,01,February,1991,01/February/1991,0.5
535,Global,01,February,1992,01/February/1992,0.4
536,Global,01,February,1993,01/February/1993,0.37
537,Global,01,February,1994,01/February/1994,0.02
538,Global,01,February,1995,01/February/1995,0.79
539,Global,01,February,1996,01/February/1996,0.46
540,Global,01,February,1997,01/February/1997,0.41
541,Global,01,February,1998,01/February/1998,0.88
542,Global,01,February,1999,01/February/1999,0.64
543,Global,01,February,2000,01/February/2000,0.56
544,Global,01,February,2001,01/February/2001,0.44
545,Global,01,February,2002,01/February/2002,0.79
546,Global,01,February,2003,01/February/2003,0.58
547,Global,01,February,2004,01/February/2004,0.73
548,Global,01,February,2005,01/February/2005,0.6
549,Global,01,February,2006,01/February/2006,0.73
550,Global,01,February,2007,01/February/2007,0.7
551,Global,01,February,2008,01/February/2008,0.38
552,Global,01,February,2009,01/February/2009,0.53
553,Global,01,February,2010,01/February/2010,0.84
554,Global,01,February,2011,01/February/2011,0.48
555,Global,01,February,2012,01/February/2012,0.5
556,Global,01,February,2013,01/February/2013,0.63
557,Global,01,February,2014,01/February/2014,0.55
558,Global,01,February,2015,01/February/2015,0.91
559,Global,01,February,2016,01/February/2016,1.37
560,Global,01,February,2017,01/February/2017,1.15
561,Global,01,February,2018,01/February/2018,0.85
562,Global,01,February,2019,01/February/2019,0.96
563,Global,01,February,2020,01/February/2020,1.26
564,Northern,01,February,1880,01/February/1880,-0.5
565,Northern,01,February,1881,01/February/1881,-0.21
566,Northern,01,February,1882,01/February/1882,0.23
567,Northern,01,February,1883,01/February/1883,-0.65
568,Northern,01,February,1884,01/February/1884,-0.1
569,Northern,01,February,1885,01/February/1885,-0.45
570,Northern,01,February,1886,01/February/1886,-0.83
571,Northern,01,February,1887,01/February/1887,-0.69
572,Northern,01,February,1888,01/February/1888,-0.6
573,Northern,01,February,1889,01/February/1889,0.31
574,Northern,01,February,1890,01/February/1890,-0.56
575,Northern,01,February,1891,01/February/1891,-0.68
576,Northern,01,February,1892,01/February/1892,-0.15
577,Northern,01,February,1893,01/February/1893,-0.97
578,Northern,01,February,1894,01/February/1894,-0.42
